month,compare_month,country_key,country_label,source_key,source_label,gmv_prev,gmv_cur,old_gmv_prev,old_gmv_cur,new_gmv_prev,new_gmv_cur,orders_total_prev,orders_total_cur,orders_success_prev,orders_success_cur,success_users_prev,success_users_cur,success_rate_prev,success_rate_cur,new_users_prev,new_users_cur,repurchase_rate_prev,repurchase_rate_cur,retention_rate_prev,retention_rate_cur,conversion_rate_prev,conversion_rate_cur
2026-05,2026-04,墨西哥,墨西哥,易付全球(公众号),易付全球(公众号),133771,133210,125315,123439,8456,9771,1927,1979,1802,1825,944,974,0.9351323300467047,0.9221829206670036,134,103,0.6527196652719666,0.6927966101694916,0.5,0.5104166666666666,0.6194029850746269,0.6504854368932039
2026-05,2026-04,墨西哥,墨西哥,easy大马生活(小程序),easy大马生活(小程序),0,0,0,0,0,0,2,0,0,0,0,0,0.0,,0,1,,,,,,0.0
2026-05,2026-04,墨西哥,墨西哥,e付全酋(小程序),e付全酋(小程序),3779,3602,3779,3479,0,123,63,58,58,54,22,19,0.9206349206349206,0.9310344827586207,0,1,0.8636363636363636,0.7727272727272727,1.0,,,0.0
2026-05,2026-04,墨西哥,墨西哥,支付宝小程序,支付宝小程序,5396,6051,5233,5752,163,299,67,76,62,64,33,28,0.9253731343283582,0.8421052631578947,3,5,0.5609756097560976,0.5454545454545454,0.2857142857142857,0.0,0.3333333333333333,0.4
2026-05,2026-04,墨西哥,墨西哥,e付全酋(公众号),e付全酋(公众号),1352,1322,1352,1276,0,46,14,16,14,16,8,9,1.0,1.0,0,1,0.875,1.0,,,,1.0
2026-05,2026-04,墨西哥,墨西哥,公众号,公众号,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,
2026-05,2026-04,阿联酋,阿联酋,__ALL__,来源汇总,295287,306381,266456,282911,28831,23470,2273,2499,1993,2163,1022,1121,0.8768147822261328,0.865546218487395,320,358,0.5483253588516747,0.6252446183953033,0.3419354838709677,0.4418604651162791,0.309375,0.33798882681564246
2026-05,2026-04,阿联酋,阿联酋,易付全球(小程序),易付全球(小程序),44507,58108,40211,53777,4296,4331,437,578,379,484,227,288,0.8672768878718535,0.8373702422145328,50,63,0.5589519650655022,0.6828193832599119,0.3181818181818182,0.5172413793103449,0.42,0.5714285714285714
2026-05,2026-04,阿联酋,阿联酋,easy大马生活(公众号),easy大马生活(公众号),0,2267,0,2267,0,0,0,14,0,11,0,6,,0.7857142857142857,21,65,0.0,,0.0,,0.0,0.0
2026-05,2026-04,阿联酋,阿联酋,易付全球(公众号),易付全球(公众号),17667,23077,16029,21475,1638,1602,195,247,174,220,93,118,0.8923076923076924,0.8906882591093117,20,33,0.5111111111111111,0.5591397849462365,0.25,0.0,0.3,0.5151515151515151
2026-05,2026-04,阿联酋,阿联酋,easy大马生活(小程序),easy大马生活(小程序),1652,1183,1548,1183,104,0,22,10,15,9,12,5,0.6818181818181818,0.9,68,38,0.25,0.16666666666666666,0.0,0.0,0.0,0.0
